location,year,tmean,tmax,tmin,precip_mm,rh2m,ws2m,sw_insol,soilmoist
Didinga Hills 4.333N 33.583E,1981,25.73,34.81,18.65,950.5,56.4,2.79,-999.0,0.415
Didinga Hills 4.333N 33.583E,1982,25.95,35.21,18.84,795.5,55.1,2.84,-999.0,0.403
Didinga Hills 4.333N 33.583E,1983,26.34,35.27,19.16,787.0,53.7,2.7,-999.0,0.408
Didinga Hills 4.333N 33.583E,1984,26.55,35.73,19.28,538.5,47.4,3.06,21.1,0.392
Didinga Hills 4.333N 33.583E,1985,25.56,34.56,18.31,838.7,54.7,2.73,21.1,0.41
Didinga Hills 4.333N 33.583E,1986,25.82,34.96,18.61,845.7,54.2,2.64,20.6,0.407
Didinga Hills 4.333N 33.583E,1987,26.05,35.48,18.79,942.2,54.8,2.6,20.5,0.416
Didinga Hills 4.333N 33.583E,1988,25.92,35.18,18.9,1011.3,57.2,2.6,20.1,0.417
Didinga Hills 4.333N 33.583E,1989,25.61,35.02,18.52,817.5,55.3,2.62,20.4,0.408
Didinga Hills 4.333N 33.583E,1990,26.16,35.39,19.28,734.9,55.4,2.63,20.1,0.406
Didinga Hills 4.333N 33.583E,1991,26.04,35.05,19.12,913.6,55.6,2.57,20.2,0.412
Didinga Hills 4.333N 33.583E,1992,26.59,35.79,18.96,606.6,51.8,2.68,20.5,0.395
Didinga Hills 4.333N 33.583E,1993,26.66,35.58,19.1,461.7,49.6,2.97,21.2,0.392
Didinga Hills 4.333N 33.583E,1994,26.04,35.17,19.12,894.1,54.7,2.56,20.8,0.41
Didinga Hills 4.333N 33.583E,1995,26.18,35.25,19.17,837.7,55.4,2.67,20.3,0.407
Didinga Hills 4.333N 33.583E,1996,25.68,34.39,19.08,886.8,58.1,2.52,19.8,0.414
Didinga Hills 4.333N 33.583E,1997,25.77,34.84,18.87,951.0,57.0,2.9,20.9,0.418
Didinga Hills 4.333N 33.583E,1998,26.65,35.64,19.32,539.8,54.8,2.76,20.8,0.4
Didinga Hills 4.333N 33.583E,1999,26.7,35.74,19.55,490.6,49.6,2.88,20.8,0.389
Didinga Hills 4.333N 33.583E,2000,27.09,36.19,19.84,412.4,46.4,2.72,21.2,0.385
Didinga Hills 4.333N 33.583E,2001,26.0,35.08,19.18,863.3,55.4,2.42,20.0,0.409
Didinga Hills 4.333N 33.583E,2002,26.54,35.73,18.86,641.5,51.5,2.8,20.7,0.398
Didinga Hills 4.333N 33.583E,2003,26.77,35.78,19.68,567.0,51.7,2.79,20.7,0.393
Didinga Hills 4.333N 33.583E,2004,26.7,35.43,19.52,569.8,51.8,2.73,20.4,0.391
Didinga Hills 4.333N 33.583E,2005,27.03,36.43,19.5,448.4,48.9,2.92,20.6,0.389
Didinga Hills 4.333N 33.583E,2006,26.4,35.57,19.55,736.0,54.6,2.78,19.9,0.397
Didinga Hills 4.333N 33.583E,2007,25.82,34.85,19.07,800.7,58.3,2.56,20.4,0.412
Didinga Hills 4.333N 33.583E,2008,26.64,35.66,19.49,503.3,50.8,2.61,20.4,0.391
Didinga Hills 4.333N 33.583E,2009,26.96,35.88,19.57,520.8,50.6,2.77,20.5,0.388
Didinga Hills 4.333N 33.583E,2010,26.54,35.47,19.62,621.8,54.5,2.61,20.0,0.398
Didinga Hills 4.333N 33.583E,2011,26.32,35.62,19.02,686.6,54.1,2.44,20.0,0.401
Didinga Hills 4.333N 33.583E,2012,25.59,34.53,18.85,915.8,59.2,2.29,20.0,0.417
Didinga Hills 4.333N 33.583E,2013,25.96,35.1,18.92,707.8,57.4,2.37,20.1,0.409
Didinga Hills 4.333N 33.583E,2014,26.14,35.11,19.18,788.2,56.5,2.4,20.4,0.407
Didinga Hills 4.333N 33.583E,2015,26.28,35.34,19.08,727.1,55.4,2.33,20.8,0.407
Didinga Hills 4.333N 33.583E,2016,26.41,35.61,19.07,692.0,55.3,2.44,20.8,0.409
Didinga Hills 4.333N 33.583E,2017,26.5,35.98,19.21,727.4,54.3,2.44,20.7,0.403
Didinga Hills 4.333N 33.583E,2018,25.9,34.66,19.18,829.0,57.1,2.44,20.2,0.415
Didinga Hills 4.333N 33.583E,2019,26.27,35.15,19.66,960.2,59.4,2.31,20.1,0.418
Didinga Hills 4.333N 33.583E,2020,25.19,34.16,18.49,1408.3,65.8,1.91,19.5,0.448
Didinga Hills 4.333N 33.583E,2021,25.98,35.25,19.22,799.5,58.2,2.36,20.1,0.422
Didinga Hills 4.333N 33.583E,2022,26.38,35.52,19.16,673.1,54.6,2.34,19.9,0.401
Didinga Hills 4.333N 33.583E,2023,26.6,35.92,19.62,866.1,56.1,2.56,20.2,0.409
Didinga Hills 4.333N 33.583E,2024,26.41,35.57,19.87,1095.1,60.7,2.11,19.6,0.426
Didinga Hills 4.333N 33.583E,2025,26.52,35.8,19.59,863.2,56.5,2.3,19.7,0.412
