location,year,month,tmean,tmin,tmax,precip_mm,precip_mmday,rh2m,ws2m,ws10m,sw_insol,soilmoist,ps
Didinga Hills 4.333N 33.583E,1981,1,27.28,18.71,35.89,0.0,0.0,31.03,4.0,5.84,-999.0,0.38,91.16
Didinga Hills 4.333N 33.583E,1981,2,28.29,19.11,37.33,4.5,0.16,31.14,3.73,5.32,-999.0,0.37,91.1
Didinga Hills 4.333N 33.583E,1981,3,26.49,19.13,37.03,196.5,6.34,58.41,3.51,4.98,-999.0,0.42,91.12
Didinga Hills 4.333N 33.583E,1981,4,24.98,19.43,33.75,92.4,3.08,68.38,3.04,4.41,-999.0,0.44,91.21
Didinga Hills 4.333N 33.583E,1981,5,24.79,19.06,34.85,115.9,3.74,68.91,2.55,3.78,-999.0,0.44,91.25
Didinga Hills 4.333N 33.583E,1981,6,25.32,17.86,33.68,42.9,1.43,59.56,2.0,2.99,-999.0,0.41,91.42
Didinga Hills 4.333N 33.583E,1981,7,23.66,18.24,33.27,110.4,3.56,69.94,1.65,2.49,-999.0,0.43,91.43
Didinga Hills 4.333N 33.583E,1981,8,24.38,18.0,33.15,104.2,3.36,67.08,1.79,2.7,-999.0,0.44,91.35
Didinga Hills 4.333N 33.583E,1981,9,25.27,18.54,34.42,123.3,4.11,63.67,1.83,2.74,-999.0,0.42,91.31
Didinga Hills 4.333N 33.583E,1981,10,25.77,18.79,34.77,98.9,3.19,59.04,2.82,4.25,-999.0,0.43,91.22
Didinga Hills 4.333N 33.583E,1981,11,25.87,18.53,33.98,44.4,1.48,55.3,2.88,4.28,-999.0,0.41,91.19
Didinga Hills 4.333N 33.583E,1981,12,26.61,18.39,35.6,17.1,0.55,44.61,3.68,5.42,-999.0,0.39,91.2
Didinga Hills 4.333N 33.583E,1982,1,26.48,19.36,36.49,32.2,1.04,45.61,3.37,4.94,-999.0,0.39,91.12
Didinga Hills 4.333N 33.583E,1982,2,27.81,17.95,36.98,9.8,0.35,37.43,3.14,4.46,-999.0,0.38,91.08
Didinga Hills 4.333N 33.583E,1982,3,29.41,21.57,38.89,14.0,0.45,35.0,4.24,5.94,-999.0,0.37,91.03
Didinga Hills 4.333N 33.583E,1982,4,26.28,20.71,35.59,105.3,3.51,60.83,3.47,4.93,-999.0,0.4,91.14
Didinga Hills 4.333N 33.583E,1982,5,25.54,18.99,35.02,125.2,4.04,65.32,2.66,3.91,-999.0,0.42,91.24
Didinga Hills 4.333N 33.583E,1982,6,25.53,18.67,34.19,44.7,1.49,60.17,2.1,3.14,-999.0,0.41,91.42
Didinga Hills 4.333N 33.583E,1982,7,25.22,18.07,33.83,57.0,1.84,57.85,2.15,3.2,-999.0,0.4,91.37
Didinga Hills 4.333N 33.583E,1982,8,24.14,17.18,33.54,135.2,4.36,65.96,1.89,2.88,-999.0,0.43,91.39
Didinga Hills 4.333N 33.583E,1982,9,26.47,19.04,35.4,14.4,0.48,48.89,2.49,3.69,-999.0,0.39,91.31
Didinga Hills 4.333N 33.583E,1982,10,25.21,18.61,35.52,102.9,3.32,60.07,3.18,4.72,-999.0,0.41,91.18
Didinga Hills 4.333N 33.583E,1982,11,24.36,18.09,33.35,100.2,3.34,66.6,2.42,3.6,-999.0,0.42,91.2
Didinga Hills 4.333N 33.583E,1982,12,24.95,17.88,33.69,54.6,1.76,57.3,2.99,4.47,-999.0,0.42,91.24
Didinga Hills 4.333N 33.583E,1983,1,26.65,17.22,35.74,5.0,0.16,40.58,2.85,4.19,-999.0,0.39,91.27
Didinga Hills 4.333N 33.583E,1983,2,28.59,20.08,37.92,6.2,0.22,38.72,3.05,4.36,-999.0,0.38,91.18
Didinga Hills 4.333N 33.583E,1983,3,30.29,22.99,38.59,9.0,0.29,34.15,4.12,5.76,-999.0,0.37,91.08
Didinga Hills 4.333N 33.583E,1983,4,28.69,21.21,37.4,36.6,1.22,46.04,3.55,5.05,-999.0,0.38,91.14
Didinga Hills 4.333N 33.583E,1983,5,26.42,19.52,35.33,82.5,2.66,58.47,3.08,4.53,-999.0,0.4,91.19
Didinga Hills 4.333N 33.583E,1983,6,25.86,19.4,34.9,96.3,3.21,59.37,2.23,3.31,-999.0,0.4,91.35
Didinga Hills 4.333N 33.583E,1983,7,24.46,18.45,33.98,99.2,3.2,65.09,1.84,2.82,-999.0,0.43,91.38
