location,year,tmean,tmax,tmin,precip_mm,rh2m,ws2m,sw_insol,soilmoist
Kapoeta lowlands 4.767N 33.600E,1981,27.76,36.9,20.39,913.9,54.8,3.03,-999.0,0.456
Kapoeta lowlands 4.767N 33.600E,1982,28.07,37.43,20.71,783.1,53.3,3.09,-999.0,0.443
Kapoeta lowlands 4.767N 33.600E,1983,28.33,37.68,20.63,866.3,52.8,2.87,-999.0,0.454
Kapoeta lowlands 4.767N 33.600E,1984,28.82,38.07,21.19,539.7,45.2,3.33,21.1,0.427
Kapoeta lowlands 4.767N 33.600E,1985,27.54,36.84,20.25,864.0,53.8,2.93,21.1,0.454
Kapoeta lowlands 4.767N 33.600E,1986,27.65,37.03,20.25,953.4,54.3,2.82,20.6,0.458
Kapoeta lowlands 4.767N 33.600E,1987,27.84,37.28,20.38,1032.9,55.0,2.8,20.5,0.465
Kapoeta lowlands 4.767N 33.600E,1988,28.03,37.35,20.64,933.5,55.2,2.83,20.1,0.458
Kapoeta lowlands 4.767N 33.600E,1989,27.92,37.45,20.4,667.7,52.1,2.95,20.4,0.438
Kapoeta lowlands 4.767N 33.600E,1990,28.55,37.98,21.36,591.8,51.7,3.03,20.1,0.431
Kapoeta lowlands 4.767N 33.600E,1991,28.19,37.48,21.0,827.8,53.7,2.82,20.2,0.448
Kapoeta lowlands 4.767N 33.600E,1992,28.66,38.06,20.79,648.2,50.4,2.89,20.5,0.436
Kapoeta lowlands 4.767N 33.600E,1993,28.85,37.86,20.89,493.8,47.2,3.34,21.2,0.427
Kapoeta lowlands 4.767N 33.600E,1994,28.0,37.23,20.96,894.7,53.9,2.79,20.8,0.457
Kapoeta lowlands 4.767N 33.600E,1995,28.38,37.65,21.13,754.6,53.3,2.96,20.3,0.44
Kapoeta lowlands 4.767N 33.600E,1996,27.8,36.84,21.02,809.3,56.4,2.75,19.8,0.453
Kapoeta lowlands 4.767N 33.600E,1997,28.05,37.29,20.79,800.0,53.7,3.25,20.9,0.451
Kapoeta lowlands 4.767N 33.600E,1998,28.86,38.09,21.15,540.6,52.2,3.15,20.8,0.434
Kapoeta lowlands 4.767N 33.600E,1999,28.99,38.13,21.36,475.3,47.0,3.24,20.8,0.425
Kapoeta lowlands 4.767N 33.600E,2000,29.57,38.66,21.64,339.3,42.9,3.05,21.2,0.419
Kapoeta lowlands 4.767N 33.600E,2001,28.44,37.63,21.07,644.8,51.1,2.76,20.0,0.434
Kapoeta lowlands 4.767N 33.600E,2002,28.94,38.2,20.81,518.3,47.5,3.27,20.7,0.425
Kapoeta lowlands 4.767N 33.600E,2003,29.07,38.27,21.61,493.7,48.5,3.19,20.7,0.423
Kapoeta lowlands 4.767N 33.600E,2004,29.05,38.0,21.67,483.6,48.3,3.17,20.4,0.424
Kapoeta lowlands 4.767N 33.600E,2005,29.43,38.93,21.36,425.1,45.5,3.38,20.6,0.422
Kapoeta lowlands 4.767N 33.600E,2006,28.64,37.98,21.4,675.0,51.7,3.21,19.9,0.432
Kapoeta lowlands 4.767N 33.600E,2007,28.04,37.45,21.27,748.7,55.7,2.84,20.4,0.447
Kapoeta lowlands 4.767N 33.600E,2008,28.93,38.09,21.25,511.9,48.4,2.9,20.4,0.426
Kapoeta lowlands 4.767N 33.600E,2009,29.28,38.43,21.69,468.5,47.6,3.13,20.5,0.422
Kapoeta lowlands 4.767N 33.600E,2010,28.79,38.05,21.46,602.0,51.6,2.98,20.0,0.432
Kapoeta lowlands 4.767N 33.600E,2011,28.61,38.16,20.86,587.2,51.1,2.7,20.0,0.432
Kapoeta lowlands 4.767N 33.600E,2012,27.69,36.9,20.83,840.4,57.0,2.51,20.0,0.454
Kapoeta lowlands 4.767N 33.600E,2013,28.09,37.48,20.67,659.6,55.0,2.64,20.1,0.443
Kapoeta lowlands 4.767N 33.600E,2014,28.35,37.71,20.73,695.8,54.1,2.59,20.4,0.443
Kapoeta lowlands 4.767N 33.600E,2015,28.29,37.59,20.47,816.0,53.9,2.53,20.8,0.453
Kapoeta lowlands 4.767N 33.600E,2016,28.33,37.98,20.73,647.0,54.1,2.64,20.8,0.451
Kapoeta lowlands 4.767N 33.600E,2017,28.4,38.18,20.74,748.3,53.5,2.59,20.7,0.443
Kapoeta lowlands 4.767N 33.600E,2018,27.86,37.06,20.82,826.5,55.6,2.7,20.2,0.456
Kapoeta lowlands 4.767N 33.600E,2019,28.19,37.57,21.15,946.4,58.5,2.47,20.1,0.458
Kapoeta lowlands 4.767N 33.600E,2020,27.03,36.55,19.96,1586.4,64.6,2.11,19.5,0.474
Kapoeta lowlands 4.767N 33.600E,2021,27.95,37.79,20.7,794.7,57.0,2.59,20.1,0.456
Kapoeta lowlands 4.767N 33.600E,2022,28.42,38.0,20.74,639.2,53.1,2.54,19.9,0.437
Kapoeta lowlands 4.767N 33.600E,2023,28.5,38.13,21.15,887.3,55.2,2.81,20.2,0.453
Kapoeta lowlands 4.767N 33.600E,2024,28.29,37.77,21.47,1067.4,59.6,2.37,19.6,0.464
Kapoeta lowlands 4.767N 33.600E,2025,28.42,38.02,21.03,918.8,55.8,2.51,19.7,0.456
