location,year,month,tmean,tmin,tmax,precip_mm,precip_mmday,rh2m,ws2m,ws10m,sw_insol,soilmoist,ps
Kapoeta lowlands 4.767N 33.600E,1981,1,29.78,19.76,38.58,0.0,0.0,27.73,4.23,6.04,-999.0,0.41,94.36
Kapoeta lowlands 4.767N 33.600E,1981,2,30.94,21.55,40.15,1.4,0.05,27.5,3.96,5.51,-999.0,0.41,94.29
Kapoeta lowlands 4.767N 33.600E,1981,3,29.02,20.97,39.78,157.8,5.09,53.58,3.82,5.28,-999.0,0.45,94.32
Kapoeta lowlands 4.767N 33.600E,1981,4,27.0,21.18,35.54,85.8,2.86,65.62,3.6,5.07,-999.0,0.48,94.43
Kapoeta lowlands 4.767N 33.600E,1981,5,26.58,21.04,36.41,114.7,3.7,68.02,3.04,4.39,-999.0,0.49,94.48
Kapoeta lowlands 4.767N 33.600E,1981,6,27.24,19.31,35.64,43.2,1.44,58.08,2.52,3.68,-999.0,0.45,94.66
Kapoeta lowlands 4.767N 33.600E,1981,7,25.36,19.86,35.16,142.9,4.61,69.0,1.9,2.84,-999.0,0.47,94.68
Kapoeta lowlands 4.767N 33.600E,1981,8,25.91,19.7,34.51,111.0,3.58,68.3,1.96,2.94,-999.0,0.49,94.59
Kapoeta lowlands 4.767N 33.600E,1981,9,26.53,19.9,35.83,135.9,4.53,66.25,1.91,2.87,-999.0,0.48,94.55
Kapoeta lowlands 4.767N 33.600E,1981,10,27.82,21.03,36.73,67.3,2.17,58.15,2.91,4.31,-999.0,0.47,94.45
Kapoeta lowlands 4.767N 33.600E,1981,11,28.01,20.29,36.3,39.9,1.33,54.9,2.81,4.1,-999.0,0.45,94.41
Kapoeta lowlands 4.767N 33.600E,1981,12,28.97,20.09,38.2,14.0,0.45,40.8,3.69,5.37,-999.0,0.42,94.4
Kapoeta lowlands 4.767N 33.600E,1982,1,29.02,21.3,38.79,28.5,0.92,42.21,3.48,4.96,-999.0,0.42,94.33
Kapoeta lowlands 4.767N 33.600E,1982,2,30.24,20.06,39.58,8.4,0.3,33.68,3.34,4.63,-999.0,0.41,94.28
Kapoeta lowlands 4.767N 33.600E,1982,3,32.06,23.38,41.35,8.4,0.27,31.69,4.48,6.13,-999.0,0.41,94.21
Kapoeta lowlands 4.767N 33.600E,1982,4,28.97,22.8,38.61,84.0,2.8,55.22,4.15,5.73,-999.0,0.43,94.35
Kapoeta lowlands 4.767N 33.600E,1982,5,27.46,20.95,37.1,123.1,3.97,63.72,3.15,4.5,-999.0,0.46,94.46
Kapoeta lowlands 4.767N 33.600E,1982,6,27.31,20.16,36.05,51.0,1.7,59.81,2.5,3.64,-999.0,0.45,94.66
Kapoeta lowlands 4.767N 33.600E,1982,7,26.66,19.74,35.51,109.1,3.52,59.5,2.46,3.65,-999.0,0.46,94.61
